vin,production_date,assembly_plant,fuel_pump_supplier,engine_series,model_year
1FAHP3VGRVI104332,2024-10-23,OHAP,Supplier_Beta,V8_Coyote,2023
1FAHP3NOGMB196001,2023-08-24,MAP,Supplier_Beta,V8_Coyote,2025
1FAHP3LRZAW838637,2023-03-26,KCAP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3WVGFY265423,2023-07-16,OHAP,Gamma_Tech,V6_EcoBoost,2025
1FAHP3UDIHY155940,2023-08-15,OHAP,Supplier_Beta,V8_Coyote,2023
1FAHP3MTECQ184959,2024-04-24,MAP,Supplier_Alpha,V6_EcoBoost,2025
1FAHP3RDOXK341316,2024-08-14,KCAP,Gamma_Tech,V6_EcoBoost,2024
1FAHP3OKIUP553419,2024-07-24,KCAP,Gamma_Tech,V8_Coyote,2025
1FAHP3RUXXD276483,2023-01-11,OHAP,Gamma_Tech,V6_EcoBoost,2023
1FAHP3NKTUN305641,2024-01-20,DTP,Supplier_Beta,I4_Hybrid,2024
1FAHP3PVJIQ767242,2024-08-17,OHAP,Supplier_Beta,I4_Hybrid,2025
1FAHP3IGFFW969653,2023-10-30,OHAP,Supplier_Beta,I4_Hybrid,2025
1FAHP3EYYMD012269,2024-04-28,OHAP,Gamma_Tech,I4_Hybrid,2025
1FAHP3WRXPV848018,2024-09-03,OHAP,Gamma_Tech,V8_Coyote,2025
1FAHP3UUQGW146270,2023-07-24,MAP,Supplier_Alpha,V8_Coyote,2025
1FAHP3MJXWK281489,2024-07-16,KCAP,Supplier_Alpha,V8_Coyote,2024
1FAHP3BHXZT880957,2022-12-30,MAP,Supplier_Alpha,I4_Hybrid,2024
1FAHP3UFEWI303911,2023-06-07,MAP,Gamma_Tech,I4_Hybrid,2024
1FAHP3HMBNI227824,2024-09-29,MAP,Gamma_Tech,V6_EcoBoost,2024
1FAHP3CHPOE346578,2024-07-03,OHAP,Supplier_Alpha,V6_EcoBoost,2023
1FAHP3OAETO509839,2023-08-26,DTP,Supplier_Beta,I4_Hybrid,2024
1FAHP3GPRQF031051,2023-09-04,KCAP,Supplier_Alpha,I4_Hybrid,2025
1FAHP3PYEZA382997,2023-06-18,DTP,Gamma_Tech,I4_Hybrid,2025
1FAHP3ADUDR311656,2023-05-20,MAP,Gamma_Tech,I4_Hybrid,2024
1FAHP3MMICI106513,2024-02-03,MAP,Gamma_Tech,V6_EcoBoost,2025
1FAHP3CZJGD624731,2023-01-23,DTP,Supplier_Beta,I4_Hybrid,2024
1FAHP3FENZD801326,2024-11-15,DTP,Supplier_Beta,V6_EcoBoost,2025
1FAHP3SBSUY260647,2024-11-23,DTP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3DLVID872343,2024-05-11,MAP,Supplier_Alpha,I4_Hybrid,2023
1FAHP3HKDGF500978,2023-06-22,MAP,Gamma_Tech,I4_Hybrid,2024
1FAHP3HKPLM219136,2024-08-25,KCAP,Gamma_Tech,V6_EcoBoost,2024
1FAHP3HUQNQ091699,2024-05-28,KCAP,Gamma_Tech,V6_EcoBoost,2024
